Title,URL,Description,Best Rating,Worst Rating,Rating Value,Genre,Duration
Civil War,https://www.imdb.com/title/tt17279496/,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",10,1,7,"Action, Adventure, Thriller",PT1H49M
How the Grinch Stole Christmas,https://www.imdb.com/title/tt0170016/,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",10,1,6.3,"Comedy, Family, Fantasy",PT1H44M
The Holiday,https://www.imdb.com/title/tt0457939/,"Amanda lives in LA and is a movie trailer editor. Iris lives in Surrey and is a journalist. The two decide to swap houses for two weeks at Christmas - both trying to forget their troubled love lives, until love finds them anyways.",10,1,7,"Comedy, Romance",PT2H16M
A Real Pain,https://www.imdb.com/title/tt21823606/,Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the odd-couple&apos;s old tensions resurface against the backdrop of their family history.,10,1,7.6,"Comedy, Drama",PT1H30M
Speak No Evil,https://www.imdb.com/title/tt27534307/,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",10,1,6.8,"Drama, Horror, Thriller",PT1H50M
It Ends with Us,https://www.imdb.com/title/tt10655524/,"When a woman&apos;s first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",10,1,6.5,"Drama, Romance",PT2H10M
Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194/,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,10,1,7.5,"Action, Adventure, Sci-Fi",PT2H28M
The Grinch,https://www.imdb.com/title/tt2709692/,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,10,1,6.4,"Animation, Comedy, Drama",PT1H25M
Oppenheimer,https://www.imdb.com/title/tt15398776/,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",10,1,8.3,"Biography, Drama, History",PT3H
Babylon,https://www.imdb.com/title/tt10640346/,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",10,1,7.1,"Comedy, Drama, History",PT3H9M
Memoir of a Snail,https://www.imdb.com/title/tt23770030/,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs.",10,1,7.9,"Animation, Drama",PT1H35M
Dune: Part One,https://www.imdb.com/title/tt1160419/,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",10,1,8,"Action, Adventure, Drama",PT2H35M
Die Hard,https://www.imdb.com/title/tt0095016/,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,10,1,8.2,"Action, Thriller",PT2H12M
Subservience,https://www.imdb.com/title/tt24871974/,"Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly.",10,1,5.3,"Sci-Fi, Thriller",PT1H46M
Wolfs,https://www.imdb.com/title/tt14257582/,"Two rival fixers cross paths when they&apos;re both called in to help cover up a prominent New York official&apos;s misstep. Over one explosive night, they&apos;ll have to set aside their petty grievances and their egos to finish the job.",10,1,6.5,"Crime, Thriller",PT1H48M
Sweethearts,https://www.imdb.com/title/tt14636214/,Two college freshmen pull a &quot;Turkey Dump&quot; and break up with their high school sweethearts over &quot;Drunksgiving&quot; - the one chaotic night before Thanksgiving in their hometown that puts their codependent friendship to the test.,10,1,5.6,Comedy,PT1H38M
The Ministry of Ungentlemanly Warfare,https://www.imdb.com/title/tt5177120/,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,10,1,6.8,"Action, Comedy, War",PT2H2M
